단지번호,단지명,시구,동,원인,최소면적_㎡,최대면적_㎡,준공년월,위도,경도
2509,언남동부,용인시 기흥구,마북동,c_name_var,81.2,81.2,199812.0,37.293397,127.122979
2196,교동마을신창,용인시 기흥구,마북동,c_name_var,77.64,77.64,199612.0,37.30585,127.1267
2197,교동마을정광,용인시 기흥구,마북동,c_name_var,76.92,76.92,199711.0,37.302388,127.125164
8106,연원마을현대,용인시 기흥구,마북동,c_name_var,82.49,82.49,200005.0,37.303067,127.112331
2523,구성우림,용인시 기흥구,마북동,c_name_var,78.86,78.86,199801.0,37.29636,127.11339
3681,교동마을엘지자이,용인시 기흥구,마북동,c_name_var,119.78,119.78,200108.0,37.304584,127.126018
26086,교동마을마북e편한세상,용인시 기흥구,마북동,c_name_var,113.53,113.53,200910.0,37.306825,127.12817
8428,장미마을삼성래미안2차,용인시 기흥구,마북동,c_name_var,113.06,113.06,200312.0,37.293147,127.118538
8245,언동해피트리,용인시 기흥구,마북동,c_name_var,114.91,114.91,200112.0,37.291024,127.12992
8820,용인영덕신일1단지,용인시 기흥구,보라동,c_name_var,80.73,80.73,199812.0,37.268226,127.094917
11098,동아.삼익.풍림,용인시 기흥구,보정동,b_no_trade,80.9,80.9,199412.0,37.331556,127.09639
8727,꽃메마을현대홈타운4차3단지,용인시 기흥구,보정동,c_name_var,111.54,111.54,200406.0,37.322822,127.117616
8728,꽃메마을현대홈타운4차4단지,용인시 기흥구,보정동,c_name_var,111.38,111.38,200406.0,37.322022,127.116587
148722,수지구청역롯데캐슬하이브엘(민간임대),용인시 기흥구,보정동,c_name_var,114.3,115.17,202505.0,37.32107,127.099329
115242,스프링카운티자이(실버주택),용인시 기흥구,상하동,c_name_var,78.52,83.05,201910.0,37.269456,127.148748
11443,동백역월드메르디앙,용인시 기흥구,상하동,c_name_var,100.17,116.39,200602.0,37.264752,127.154067
14042,동백역경남아너스빌,용인시 기흥구,상하동,c_name_var,98.53,111.59,200603.0,37.267067,127.155248
14041,동백역벽산블루밍,용인시 기흥구,상하동,c_name_var,111.06,111.45,200603.0,37.268254,127.154817
2527,"양현마을풍림,신안",용인시 기흥구,신갈동,c_name_var,83.27,84.27,200105.0,37.284038,127.106645
3674,수원동마을쌍용3단지,용인시 기흥구,중동,c_name_var,115.88,115.88,200205.0,37.257237,127.137861
9553,수원동마을쌍용스윗닷홈2단지,용인시 기흥구,중동,c_name_var,115.54,115.54,200411.0,37.255945,127.141134
11287,자봉마을써니밸리,용인시 기흥구,지곡동,c_name_var,114.2,114.2,200411.0,37.251751,127.135602
119831,수지광교산아이파크,용인시 수지구,동천동,c_name_var,78.42,78.42,202001.0,37.327136,127.082956
8465,수진마을3단지우미이노스빌,용인시 수지구,동천동,c_name_var,84.35,86.33,200401.0,37.335713,127.094433
26758,한빛마을래미안이스트팰리스2단지,용인시 수지구,동천동,c_name_var,116.44,116.44,201005.0,37.336753,127.090472
26759,한빛마을래미안이스트팰리스3단지,용인시 수지구,동천동,c_name_var,109.56,109.62,201005.0,37.334067,127.088876
8692,성복역현대홈타운,용인시 수지구,상현동,c_name_var,81.28,81.28,200102.0,37.309312,127.08172
3748,신정8단지현대성우,용인시 수지구,상현동,c_name_var,82.55,82.55,199911.0,37.318378,127.090037
3093,성동마을강남빌리지,용인시 수지구,상현동,c_name_var,109.01,109.01,200102.0,37.314477,127.077268
